year,LandAverageTemperature,LandAverageTemperatureUncertainty,Uncertainty_top,Uncertainty_bot
1750,8.719363636363637,2.6378181818181816,11.357181818181818,6.081545454545456
1751,7.9761428571428565,2.781142857142857,10.757285714285715,5.194999999999999
1752,5.7798333333333325,2.977,8.756833333333333,2.8028333333333326
1753,8.388083333333332,3.176,11.564083333333333,5.212083333333332
1754,8.469333333333335,3.4942500000000005,11.963583333333336,4.975083333333334
1755,8.355583333333334,3.850333333333333,12.205916666666667,4.50525
1756,8.849583333333333,3.2623333333333338,12.111916666666668,5.587249999999999
1757,9.022,4.026000000000001,13.048000000000002,4.9959999999999996
1758,6.743583333333333,3.362916666666667,10.1065,3.3806666666666656
1759,7.985083333333333,3.6789166666666664,11.664,4.306166666666666
1760,7.185166666666667,3.0889166666666665,10.274083333333333,4.096250000000001
1761,8.772499999999999,3.144833333333333,11.917333333333332,5.627666666666666
1762,8.6065,3.5242500000000003,12.13075,5.08225
1763,7.496749999999999,3.151583333333333,10.648333333333332,4.345166666666666
1764,8.400333333333332,2.77525,11.175583333333332,5.6250833333333325
1765,8.251916666666666,2.4277500000000005,10.679666666666666,5.824166666666666
1766,8.405666666666667,2.8358333333333334,11.2415,5.569833333333333
1767,8.221499999999999,2.962666666666667,11.184166666666666,5.258833333333332
1768,6.781333333333333,2.266,9.047333333333334,4.515333333333333
1769,7.694583333333334,2.410083333333333,10.104666666666667,5.284500000000001
1770,7.691916666666667,2.780666666666667,10.472583333333333,4.91125
1771,7.8531666666666675,2.604583333333333,10.45775,5.248583333333334
1772,8.1935,2.463833333333333,10.657333333333334,5.729666666666667
1773,8.2215,2.36075,10.58225,5.860750000000001
1774,8.772166666666665,3.4151666666666665,12.187333333333331,5.356999999999999
1775,9.183083333333334,2.320583333333333,11.503666666666668,6.862500000000001
1776,8.304,2.864166666666667,11.168166666666668,5.439833333333333
1777,8.256250000000001,2.442833333333333,10.699083333333334,5.813416666666669
1778,8.54225,2.8725,11.41475,5.669749999999999
1779,8.98325,2.5058333333333334,11.489083333333333,6.477416666666667
1780,9.432916666666667,2.5848333333333335,12.017750000000001,6.848083333333333
1781,8.102583333333332,2.5038333333333336,10.606416666666664,5.598749999999998
1782,7.901249999999998,2.5505833333333334,10.451833333333331,5.350666666666665
1783,7.680833333333333,2.4944166666666665,10.17525,5.186416666666666
1784,7.862000000000001,2.255666666666667,10.117666666666668,5.606333333333334
1785,7.3629999999999995,2.2395,9.6025,5.1235
1786,8.258166666666666,2.5254166666666666,10.783583333333333,5.732749999999999
1787,8.031833333333333,2.3617500000000002,10.393583333333334,5.6700833333333325
1788,8.447166666666666,2.5578333333333334,11.004999999999999,5.889333333333333
1789,8.334166666666667,1.8686666666666667,10.202833333333333,6.4655
1790,7.982333333333333,1.7716666666666667,9.754,6.210666666666667
1791,8.23425,1.7837500000000004,10.018,6.450499999999999
1792,8.089,1.7004166666666667,9.789416666666668,6.388583333333334
1793,8.229166666666666,2.2744166666666663,10.503583333333331,5.95475
1794,8.526000000000002,1.9789999999999999,10.505,6.5470000000000015
1795,8.350333333333333,2.0433333333333334,10.393666666666666,6.307
1796,8.270999999999999,1.9206666666666667,10.191666666666666,6.3503333333333325
1797,8.510583333333335,2.045666666666667,10.556250000000002,6.464916666666667
1798,8.67025,1.9033333333333333,10.573583333333332,6.766916666666666
1799,8.505749999999999,1.7384166666666665,10.244166666666665,6.767333333333332
1800,8.484250000000001,1.7186666666666668,10.202916666666669,6.765583333333335
1801,8.589666666666668,1.5816666666666668,10.171333333333335,7.008000000000001
1802,8.578166666666666,1.849,10.427166666666666,6.729166666666666
1803,8.503,1.6331666666666667,10.136166666666666,6.869833333333333
1804,8.844833333333334,1.8418333333333334,10.686666666666667,7.003
1805,8.56275,1.6889166666666666,10.251666666666665,6.873833333333333
1806,8.434083333333332,1.5700833333333335,10.004166666666665,6.863999999999998
1807,8.281416666666665,1.59225,9.873666666666665,6.689166666666665
1808,7.626833333333333,1.996833333333333,9.623666666666665,5.63
1809,7.076416666666667,2.1354166666666665,9.211833333333333,4.941000000000001
1810,6.922666666666665,2.3109999999999995,9.233666666666664,4.611666666666666
1811,6.859500000000001,2.0957500000000002,8.955250000000001,4.76375
1812,7.046250000000001,2.135583333333333,9.181833333333334,4.910666666666668
1813,7.7399166666666686,1.7088333333333334,9.448750000000002,6.031083333333335
1814,7.59175,2.1685000000000003,9.760250000000001,5.4232499999999995
1815,7.239333333333334,1.9665,9.205833333333334,5.272833333333334
1816,6.9375,2.1929166666666666,9.130416666666667,4.744583333333333
1817,6.975666666666668,1.7083333333333333,8.684000000000001,5.267333333333335
1818,7.828916666666667,1.8290833333333334,9.658000000000001,5.999833333333334
1819,7.3691666666666675,1.5819166666666664,8.951083333333333,5.787250000000001
1820,7.616249999999998,1.6187500000000004,9.235,5.997499999999998
1821,8.090083333333332,1.3758333333333332,9.465916666666665,6.714249999999999
1822,8.188333333333334,1.37525,9.563583333333334,6.813083333333334
1823,7.7186666666666675,1.3622500000000002,9.080916666666667,6.356416666666667
1824,8.547166666666667,1.4478333333333335,9.995000000000001,7.099333333333334
1825,8.389333333333333,1.5078333333333331,9.897166666666667,6.8815
1826,8.356583333333335,1.5595833333333333,9.916166666666669,6.7970000000000015
1827,8.808749999999998,1.4435833333333334,10.25233333333333,7.365166666666664
1828,8.165333333333335,1.6484166666666666,9.81375,6.516916666666668
1829,7.941833333333332,1.31975,9.261583333333332,6.622083333333332
1830,8.51675,1.4314166666666666,9.948166666666667,7.085333333333334
1831,7.639166666666667,1.5315,9.170666666666667,6.107666666666667
1832,7.450166666666667,1.5404166666666665,8.990583333333333,5.909750000000001
1833,8.013,1.2335,9.2465,6.7795
1834,8.14675,1.1522499999999998,9.299000000000001,6.994500000000001
1835,7.392499999999999,1.2753333333333334,8.667833333333332,6.117166666666666
1836,7.695833333333334,1.1694166666666665,8.86525,6.526416666666667
1837,7.375666666666665,1.2909166666666667,8.666583333333332,6.084749999999998
1838,7.514916666666665,1.1623333333333334,8.677249999999999,6.352583333333332
1839,7.632249999999999,1.1794166666666668,8.811666666666666,6.4528333333333325
1840,7.796250000000001,0.9911666666666665,8.787416666666667,6.805083333333334
1841,7.688166666666667,0.952,8.640166666666666,6.736166666666667
1842,8.02275,0.8975,8.92025,7.12525
1843,8.173666666666666,0.7498333333333332,8.923499999999999,7.423833333333333
1844,7.646333333333334,0.926,8.572333333333333,6.7203333333333335
1845,7.851166666666668,0.8815,8.732666666666667,6.969666666666668
1846,8.55275,1.05175,9.6045,7.5009999999999994
1847,8.086,0.9006666666666666,8.986666666666666,7.185333333333333
1848,7.979500000000001,0.8713333333333333,8.850833333333334,7.108166666666667
1849,7.984416666666667,0.9135833333333334,8.898,7.070833333333334
1850,7.900666666666666,0.8764166666666666,8.777083333333334,7.024249999999999
1851,8.178583333333332,0.8819166666666667,9.0605,7.296666666666665
1852,8.100166666666665,0.91825,9.018416666666665,7.181916666666664
1853,8.041833333333333,0.835,8.876833333333334,7.206833333333333
1854,8.2105,0.8256666666666667,9.036166666666666,7.384833333333333
1855,8.110749999999998,0.8871666666666668,8.997916666666665,7.223583333333331
1856,7.995916666666666,0.7607499999999999,8.756666666666666,7.235166666666666
1857,7.758166666666668,0.7510833333333333,8.509250000000002,7.007083333333334
1858,8.10025,0.69975,8.8,7.400500000000001
1859,8.252,0.6746666666666666,8.926666666666668,7.577333333333334
1860,7.960833333333333,0.626,8.586833333333333,7.334833333333333
1861,7.846500000000002,0.6534166666666668,8.499916666666667,7.193083333333335
1862,7.558583333333334,0.6889166666666666,8.2475,6.869666666666667
1863,8.111833333333333,0.7479999999999999,8.859833333333333,7.363833333333333
1864,7.983583333333335,0.6764166666666668,8.660000000000002,7.307166666666668
1865,8.177833333333334,0.6621666666666667,8.84,7.515666666666667
1866,8.292166666666665,0.6060000000000002,8.898166666666665,7.686166666666665
1867,8.436333333333334,0.6348333333333332,9.071166666666667,7.801500000000001
1868,8.247916666666667,0.5463333333333333,8.79425,7.701583333333334
1869,8.432083333333333,0.5956666666666667,9.02775,7.836416666666667
1870,8.201333333333332,0.5501666666666667,8.7515,7.651166666666666
1871,8.115083333333333,0.57025,8.685333333333332,7.544833333333333
1872,8.193833333333332,0.5890833333333335,8.782916666666665,7.604749999999998
1873,8.351083333333333,0.5505,8.901583333333333,7.800583333333334
1874,8.4335,0.5179166666666667,8.951416666666667,7.915583333333334
1875,7.859583333333334,0.4515,8.311083333333334,7.408083333333334
1876,8.080083333333333,0.43349999999999994,8.513583333333333,7.646583333333333
1877,8.539583333333333,0.4559166666666666,8.9955,8.083666666666666
1878,8.829749999999999,0.42491666666666666,9.254666666666665,8.404833333333332
1879,8.165833333333333,0.46341666666666675,8.62925,7.702416666666667
1880,8.118749999999999,0.41491666666666677,8.533666666666665,7.703833333333332
1881,8.270916666666666,0.4193333333333334,8.69025,7.851583333333333
1882,8.128916666666667,0.3799166666666666,8.508833333333333,7.7490000000000006
1883,7.976916666666665,0.3706666666666667,8.347583333333333,7.606249999999998
1884,7.773666666666667,0.39625,8.169916666666667,7.377416666666667
1885,7.919666666666668,0.425,8.344666666666669,7.494666666666668
1886,7.954499999999999,0.38599999999999995,8.340499999999999,7.5684999999999985
1887,7.914916666666667,0.39208333333333334,8.307,7.522833333333333
1888,8.0905,0.3824166666666666,8.472916666666666,7.708083333333334
1889,8.318999999999999,0.3698333333333334,8.688833333333333,7.949166666666666
1890,7.971666666666667,0.34299999999999997,8.314666666666668,7.628666666666667
1891,8.019333333333334,0.3353333333333334,8.354666666666667,7.684
1892,8.065833333333332,0.33883333333333326,8.404666666666666,7.7269999999999985
1893,8.05675,0.34525,8.402,7.711499999999999
1894,8.161,0.31725,8.47825,7.84375
1895,8.147,0.29924999999999996,8.446250000000001,7.8477500000000004
1896,8.214916666666666,0.30883333333333335,8.52375,7.906083333333332
1897,8.293333333333335,0.3138333333333333,8.607166666666668,7.979500000000002
1898,8.177999999999999,0.3256666666666667,8.503666666666666,7.852333333333332
